지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
102,백령도,4/5/2016,9.7,7.2,13.7,,6,56.3
102,백령도,4/6/2016,10.2,6.3,14.6,,4.7,59
102,백령도,4/7/2016,9.7,7.5,12.9,,3.7,77.9
102,백령도,4/8/2016,9.8,4.5,15.7,,3.8,76
102,백령도,4/9/2016,7.9,5.3,11.1,,3.8,95.9
102,백령도,4/10/2016,7,5.5,12,,2.7,79.3
102,백령도,4/11/2016,8.1,4.3,11.9,,2.2,49.8
102,백령도,4/12/2016,9.8,7.4,12.8,0,4.5,78.5
102,백령도,4/13/2016,9.4,5.8,15.4,,3.7,91.6
102,백령도,4/14/2016,8.1,5.7,12.5,,2,80.5
102,백령도,4/15/2016,12.2,7.8,15.9,,4.1,54.6
102,백령도,4/16/2016,9.6,7,12.6,47.6,6.8,89.6
102,백령도,4/17/2016,8.3,6.8,11.1,7.6,9.2,78.4
102,백령도,4/18/2016,8,4.6,12.2,3.8,4.8,78.8
102,백령도,4/19/2016,8.5,4.5,13.1,,2.9,72.6
102,백령도,4/20/2016,9.9,7.3,14.4,3.9,5.1,81.6
102,백령도,4/21/2016,10.2,7.5,14.1,1.8,4.4,96.6
102,백령도,4/22/2016,9.5,5.7,16.7,,3.9,91.4
102,백령도,4/23/2016,9.9,6.4,14.9,,2.5,54.9
102,백령도,4/24/2016,13.7,8.9,18.8,,3.7,25.1
102,백령도,4/25/2016,14.6,11.2,18.8,,5.5,26
102,백령도,4/26/2016,16,12.8,22.3,,3.2,41.8
102,백령도,4/27/2016,15.5,13.4,18.6,,3.3,48
102,백령도,4/28/2016,13.1,9.7,15.6,,4.2,47.4
102,백령도,4/29/2016,13,8.5,18.4,,3.8,46
102,백령도,4/30/2016,12.3,10.1,14.1,,9.4,77
102,백령도,5/1/2016,13.6,10.4,16.7,,6.1,79
102,백령도,5/2/2016,15.2,12.7,17.7,22,9,88.6
102,백령도,5/3/2016,10.2,8.2,14.1,30.5,13.4,89.1
102,백령도,5/4/2016,13.5,9.9,16.6,,11.1,48
102,백령도,5/5/2016,13.8,10.6,17,20,6.7,59.3
102,백령도,5/6/2016,10.4,8.8,11.6,8.7,7.6,86.6
102,백령도,5/7/2016,13.7,10,16.5,,4.4,48.3
102,백령도,5/8/2016,16.7,13.3,22.4,,2.5,44.3
102,백령도,5/9/2016,13.7,10.8,17.5,0.2,1.8,59.4
102,백령도,5/10/2016,12.4,9.8,18.1,0.5,2,81.1
102,백령도,5/11/2016,15,11.6,18.2,,3.5,72.1
102,백령도,5/12/2016,13.1,9.2,16.1,,5.8,83.8
102,백령도,5/13/2016,11.5,7.6,14.5,,2.7,62.6
102,백령도,5/14/2016,15.5,13.2,19.3,,4.6,62.4
102,백령도,5/15/2016,11.4,9.1,13.7,23,5.1,94.4
102,백령도,5/16/2016,13,10.4,16.4,,9.2,67.1
102,백령도,5/17/2016,15.6,10.9,20.1,,4.5,69.8
102,백령도,5/18/2016,20.8,15.7,26.8,,2.7,31.5
102,백령도,5/19/2016,22,17.9,26.3,,2.4,19.5
102,백령도,5/20/2016,22,18.1,25.9,,2.7,18.1
102,백령도,5/21/2016,22.7,20.4,25.5,,2.4,22.8
102,백령도,5/22/2016,21.8,17.3,26.4,,2.9,35.8
